Ojibwe	English	Speaker	Link
Gii-pabiiwishkam awe waawaashkeshi gaa-... gaa-pima'anag.	The deer I tracked had small tracks.	es	https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.	Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.	es	https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.	He's working on the deer he shot.	es	https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
Nina'aangish gii-paashkizwaad ini waawaashkeshiwan, agaawaa ogii-kashkinanaan.	When my son-in-law shot the deer, he barely got him.	rg	https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.	He's looking for the deer he wounded.	es	https://ojibwe.lib.umn.edu/main-entry/waawaashkeshi-na
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.	He's not able to drive a car anymore because he can't see very well.	nj	https://ojibwe.lib.umn.edu/main-entry/bimibizo-vta
Babiiskijiitaa babaa-ayaad.	It wiggles up and down as it moves around.	nj	https://ojibwe.lib.umn.edu/main-entry/babaa-ayaa-vai
Gego bimibatwaadangen gibaashkizigan.	Don't run with your gun.	nj	https://ojibwe.lib.umn.edu/main-entry/bimibatwaadan-vti
Anaamisag dazhewag waawaabiganoojiinyag.	Mice nest under the floor.	nj	https://ojibwe.lib.umn.edu/main-entry/waawaabiganoojiinh-na
Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish	That old cat has got a mouse in her mouth.	es	https://ojibwe.lib.umn.edu/main-entry/waawaabiganoojiinh-na
Wiisakwemagad odaabaan bimibideg miikanaang.	The car screeches going by on the road.	rg	https://ojibwe.lib.umn.edu/main-entry/bimibide-vii
Zhigwa gii-pimibide 'iw abinoonjiinhwidaabaan.	The schoolbus already went by.	es	https://ojibwe.lib.umn.edu/main-entry/bimibide-vii
Ningii-minikwen waashkobaagamig.	I drank some pop.	rg	https://ojibwe.lib.umn.edu/main-entry/waashkobaagamig-ni-v
Aazhawikana odanimiwinaan iniw maanishtaanishan.	He's taking the sheep across the road.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawikana-adv-loc
Mii iwidi aazhawikana gaa-inaagoned.	He trudged across the road through the snow.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawikana-adv-loc
Diba'iganaatig omaa bimaakosidoon.	Lay the yardstick here.	es	https://ojibwe.lib.umn.edu/main-entry/bimaakosidoon-vti2
Aaniish ge omaa ba-onji-nanaamadabid wa'awe. | Aana go naa mawadishiwe.	Why is this person sitting around here? | Well, because he's visiting.	es	https://ojibwe.lib.umn.edu/main-entry/ba-pv-dir
Indigo naage gii-waasikwiingwe wa'awe. Giminikwe ina.	It looks like this one got shiny-faced. Are you drinking?	es	https://ojibwe.lib.umn.edu/main-entry/waasikwiingwe-vai
Gaawiin abisii. Megwaa babaamaadizi.	He's not home. He's on travel status.	es	https://ojibwe.lib.umn.edu/main-entry/babaamaadizi-vai
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.	The window was left open all night and the bat flew in.	rg	https://ojibwe.lib.umn.edu/main-entry/waasechigan-ni
Mashkawaabikad iw waasechigan.	The glass is hard.	es	https://ojibwe.lib.umn.edu/main-entry/waasechigan-ni
Baakibidoon waasechigan.	Pull the window open.	nj	https://ojibwe.lib.umn.edu/main-entry/waasechigan-ni
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.	As it gets dark you should close the curtains on the windows.	nj	https://ojibwe.lib.umn.edu/main-entry/waasechigan-ni
Ingii-piidoon ingo-minikwaajigan iwe waasamoo-bimide.	I brought one gallon of gas.	es	https://ojibwe.lib.umn.edu/main-entry/waasamoo-bimide-ni
Babaamaadagaa 'a nigig.	The otter is swimming around.	es	https://ojibwe.lib.umn.edu/main-entry/babaamaadagaa-vai
Waasizowag igiw manidoominensag.	The beads are shiny.	es	https://ojibwe.lib.umn.edu/main-entry/waasizo-vai
Gizhii-waasizo awe asin waabishkizid.	That white rock really reflects bright.	es	https://ojibwe.lib.umn.edu/main-entry/waasizo-vai
Mii go ingoji niiyo-diba'iganeg ashi-aabita bi-waaseyaag.	About four-thirty in the morning it starts to get light.	es	https://ojibwe.lib.umn.edu/main-entry/waaseyaa-vii
Weweni bimibatoon. Giga-bakiteshin.	Run slowly. You might fall.	rg	https://ojibwe.lib.umn.edu/main-entry/bimibatoo-vai
Opimeyaya'ii miikanaang bimibatoo a'aw bebezhigooganzhii.	The horse is running along on the side of the road.	rg	https://ojibwe.lib.umn.edu/main-entry/bimibatoo-vai
Wii-pimibatoo wii-ishpabid imaa zagaswe'idiiwining.	He wants to run for chairmanship in the tribal council.	es	https://ojibwe.lib.umn.edu/main-entry/bimibatoo-vai
Mii 'i zhigwa ani-gashkiidibikak, giiyaabi go waasete abiiwigamig.	It's getting dark but it is still light in the living room.	es	https://ojibwe.lib.umn.edu/main-entry/waasete-vii
Zhebaa ingii-pi-aazhoge'adoo. Ishkwaa-naawakweg niwii'-ani-aazhoge'adoo.	This morning I came across the bridge. This afternoon I'm going back across the bridge.	nj	https://ojibwe.lib.umn.edu/main-entry/aazhoge-adoo-vai
Gii-aazhawishkaawaad imaa ziibiinsing gii-pimaadagaaziiwag.	When they crossed the stream, they waded through the water.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawishkaa-vai
Ogii-aazhawishimaan ini nabagisagoon omaa daashkikwadininig gaa-onji-aazhawishkaad.	He put the board across the crack in the ice -- that's how he got across.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawishkaa-vai
Ogii-kibishkaan iwe miikana awe gaag gii-megwaa-aazhawishkaad.	That porcupine kind of blocked the road as he crossed it.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawishkaa-vai
Giishpin Jason de-diba'ang waasigani-bimide, waabang da-bagamibizo.	If Jason has enough money to buy gas, he'll be arriving tomorrow.	nj	https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-ni
Boozaabikinigan ginigawinan waasigani-bimideng.	Mix the oil into the gas.	nj	https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-ni
Wiin obimibizoni'aan iniw daashkiboojiganan.	He is operating the sawmill.	es	https://ojibwe.lib.umn.edu/main-entry/bimibizoni-vta
Aandi endazhi-aazhidebii'igeng. | Ganabaj imaa gichi-waakaa'iganing.	Where is the voting going to take place? | I think it's in the main building.	nj	https://ojibwe.lib.umn.edu/main-entry/aazhidebii-ige-vai
Niyaazhawisidoon i'iw nibabagiwayaaniigin imaa adoopowinaakong.	I'm laying my fabric across the table.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawisidoon-vti2
Agwaase mikwam gii-babaamaa'ogod gii-ziigwang.	The ice comes up on shore when it drifts around in the spring.	nj	https://ojibwe.lib.umn.edu/main-entry/babaamaa-ogo-vai
Ogii-mayagipwaan iniwen waakoonsi-bakwezhiganan gaa-amwaad.	That fish-egg bread that he ate tasted strange to him.	es	https://ojibwe.lib.umn.edu/main-entry/waakoonsiwi-bakwezhigan-na
Waakwaandesiing dananjigedaa.	Let's eat across from the doorway,	nj	https://ojibwe.lib.umn.edu/main-entry/waakwaandesiing-adv-loc
Waakwaandesiing niin niwii'-ondab.	I want to sit at the end of the lodge.	nj	https://ojibwe.lib.umn.edu/main-entry/waakwaandesiing-adv-loc
Waasaakwanjigewag waaboozoog. Mii omaa ge-izhi-agoodooyang.	Rabbits chewed the sticks bare. We'll set our snares here.	nj	https://ojibwe.lib.umn.edu/main-entry/waasaakwanjige-vai
Mii go naa ezhi-bimaanimak omaa.	There is a draft here.	es	https://ojibwe.lib.umn.edu/main-entry/bimaanimad-vii
Ogii-kwekishimaan ini bashkweginoon. Ogii-aazhigijishimaan.	He changed the position of the hide. He turned it over on its back.	es	https://ojibwe.lib.umn.edu/main-entry/aazhigijishim-vta
Ogidibiig babaamaadagewag omashkoziisiwag	The black bugs swim about on top of the water.	nj	https://ojibwe.lib.umn.edu/main-entry/babaamaadage-vai
Naazibiiwidoon waasigani-bimide-atoobaanan.	Take the gas tanks down to the lake.	nj	https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-atoobaan-ni
Gii-mizhakiise iwe waasigan.	The lightning hit the ground.	es	https://ojibwe.lib.umn.edu/main-entry/waasigan-ni
Wawiinge gichi-bagakaatese iwe waasigan.	That lightning flash was really bright.	es	https://ojibwe.lib.umn.edu/main-entry/waasigan-ni
Waasawad iwidi waa-inaazhagaameyaan owe zaaga'igan.	The lake where I am going to go along the shore is a long ways from here.	es	https://ojibwe.lib.umn.edu/main-entry/waasawad-vii
Apane mooshkinebadoon waasigani-bimide-biiwaabik.	Always keep your gas can full.	nj	https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-biiwaabik-ni
Ziikobiigisidoon waasigani-bimide-biiwaabik.	Drain the jerry can out.	nj	https://ojibwe.lib.umn.edu/main-entry/waasigani-bimide-biiwaabik-ni
Migoshkaajise awe waasamoowidaabaan aana-gii-adaaweyaan.	That car I bought has a lot of problems.	es	https://ojibwe.lib.umn.edu/main-entry/waasamoowidaabaan-ni
Nindaakoz naa. Niwaanda-wiisagine naa.	I'm so sick I'm just hurting.	rg	https://ojibwe.lib.umn.edu/main-entry/waanda-pv-lex
Waanda-wiinabiwag naa igi ikwewag.	Those ladies have a really dirty house.	rg	https://ojibwe.lib.umn.edu/main-entry/waanda-pv-lex
Baaka'aakwenhwigamigoonsing iwidi apane owi-asiginang iniw waawanoon.	He went to the chicken coop to gather up the eggs.	es	https://ojibwe.lib.umn.edu/main-entry/waawan-ni
Ingii-pawaadaan babaamaashiyaan giizhigong.	I dreamed I was soaring around in the sky.	es	https://ojibwe.lib.umn.edu/main-entry/babaamaashi-vai
Ogii-kwekinaan aana-gii-nanaa'isijigaadenig 'i waasechiganaabik.	He turned around the glass pane they had set.	es	https://ojibwe.lib.umn.edu/main-entry/waasechiganaabik-ni
Ogii-paasibidoon 'iw waasechiganaabik.	He broke the windowpane.	es	https://ojibwe.lib.umn.edu/main-entry/waasechiganaabik-ni
Gabe-dibik gii-ondendiwag igiw gaa-waaswaawaad.	The torchers were gone all night.	es	https://ojibwe.lib.umn.edu/main-entry/waaswaa-vai
Ningii-wanitoon niwaazakonebijigan wii-aabajitooyaan wii-waaswaayaan.	I've lost the flashlight I wanted to use torching.	rg	https://ojibwe.lib.umn.edu/main-entry/waaswaa-vai
Bijiinag naagaj waaswaakang: onzaam oshki-dibikad.	We'll go shining later because it's too early in the night.	es	https://ojibwe.lib.umn.edu/main-entry/waaswaa-vai
Mii go ge ezhi-zikwaadang waasikwa'ang iniw omakizinan.	He is also spit-shining his shoes.	es	https://ojibwe.lib.umn.edu/main-entry/waasikwa-an-vti
Ningii-pawaanig ningoding ji-aazhawinamawag anishinaabe-wiinzowin.	She dreamt of me passing my spirit name on to her.	nj	https://ojibwe.lib.umn.edu/main-entry/aazhawinamaw-vta
Gii-pangishin babaamaandawed awe abinoonjiinh.	The child fell off while climbing around.	es	https://ojibwe.lib.umn.edu/main-entry/babaamaandawe-vai
Ogii-aazhawishimaan ini nabgisagoon imaa daashkikwadininig gaa-onji-aazhawishkaad.	He put the board across the crack in the ice -- that's how he got across.	es	https://ojibwe.lib.umn.edu/main-entry/aazhawishim-vta
Biichaa ezhaayin. Indawaaj bimibizon.	You're going to go a long ways. Why don't you ride?	es	https://ojibwe.lib.umn.edu/main-entry/bimibizo-vai
Odaana-gii-wewebiniketawaan aana-wii-noogibinaad iniwen gaa-bimibizonid.	She tried waving his arms at the driver to stop him.	es	https://ojibwe.lib.umn.edu/main-entry/bimibizo-vai
Bekaa bimibizon gaa-gikendanziwan zaaga'igan. Maagizhaa giga-bitaabikishin	Go slow when you don't know the lake. You might hit a reef.	nj	https://ojibwe.lib.umn.edu/main-entry/bimibizo-vai
Weweni bimibizon. Ozhaashaagonagaa miikana.	Drive carefully. The road is slippery from the snow.	nj	https://ojibwe.lib.umn.edu/main-entry/bimibizo-vai
Awasinaago ningii'-ozhitoon moozo-boodaajigan.	I made a moose call two days ago.	nj	https://ojibwe.lib.umn.edu/main-entry/awasinaago-adv-tmp
Ingii-goshko'igonaan gii-piindigegozid awe ingozisinaan awasinaago.	We were surprised that out son moved in on us the other day.	es	https://ojibwe.lib.umn.edu/main-entry/awasinaago-adv-tmp
Giga-dakizidewaj. Biitakizinen.	Your feet will get cold. Put your shoes on!	nj	https://ojibwe.lib.umn.edu/main-entry/dakizidewaji-vai
Apichi nindapinikaazonan ezhi-anishinaabewinikaazoyaan.	The robin is the spirit bird that gave (my grandmother) my name.	nj	https://ojibwe.lib.umn.edu/main-entry/apinikaazon-vai-o
Aandi ezhiwaned.	Where is he toting it (on his back).	es	https://ojibwe.lib.umn.edu/main-entry/izhiwane-vai
Gaye giin na giwii-wiijiiw. Oodenaang niwii-izhaa.	Do you want to go with me? I'm going to town.	rg	https://ojibwe.lib.umn.edu/main-entry/gaye-giin-pron-per
Gaye giin imaa gidoozhibii'igaaz.	You are on the list too.	es	https://ojibwe.lib.umn.edu/main-entry/gaye-giin-pron-per
Mii go bezhigwan enanaamoyaan gaye giin enanaamoyin.	I'm breathing the same way you are breathing.	es	https://ojibwe.lib.umn.edu/main-entry/gaye-giin-pron-per
Onzaamiinowag awesiinyag noopimiing. Gaye giin gidaa-andawenjige.	There's a lot of animals in the woods. You too should go hunting.	nj	https://ojibwe.lib.umn.edu/main-entry/gaye-giin-pron-per
Zhegwaandagin asemaa enikweshinan ji-mino-bawaajigeyan.	Stick tobacco into the boughs under your head to have good dreams.	nj	https://ojibwe.lib.umn.edu/main-entry/bawaajige-vai
Ogwiinawaabamaan aana-wii-anoonaad ji-nibinaadinid.	He couldn't see him when he wanted him to go after water.	es	https://ojibwe.lib.umn.edu/main-entry/gwiinawaabam-vta
Gii-mooshkinebide imaa abiwining 'iw waasigan.	The flash of the lightning filled the living room.	es	https://ojibwe.lib.umn.edu/main-entry/abiwin-ni
Beshowad iwidi waa-inaazhagaameyaan.	I'm going to walk a short distance along the shore.	es	https://ojibwe.lib.umn.edu/main-entry/beshowad-vii
Bizaanad agwajiing. Gaawiin noodinzinoon.	It's pretty still outside. There's no wind blowing.	nj	https://ojibwe.lib.umn.edu/main-entry/bizaanad-vii
Gigii-wiisinim ina zhebaa.	Do you eat this morning?	rg	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
Gii-wiisagise omisadaang zhebaa.	He had a sharp pain in his stomach this morning.	es	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
John gii-kiiwebizo zhebaa.	John drove home this morning.	es	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
Ngii-pi-ganoonig zhebaa.	She called me this morning.	lw	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
Zhebaa ingii-o-gichi-wiisinimin.	This morning we went and had a big meal.	gh	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
Onzaam wiiba ningii'-amaji'igoo zhebaa.	They woke me up too early this morning.	nj	https://ojibwe.lib.umn.edu/main-entry/zhebaa-adv-tmp
Mii gii-kiizhiitaayaan ozisinaaganeyaan.	I'm done setting the table.	rg	https://ojibwe.lib.umn.edu/main-entry/ozisinaagane-vai
Gii-onagimaa imaa ji-namadabid zagaswe'idiiwining	He was nominated to sit on the tribal council.	es	https://ojibwe.lib.umn.edu/main-entry/onagim-vta
Mii gii-onagimind ji-ogimaakwewid awe noozhishenh imaa gii-niimi'iding.	They selected my grandaughter to be the princess at the last pow-wow.	es	https://ojibwe.lib.umn.edu/main-entry/onagim-vta
Waawaabiganoojiinyan ozaaganemaan.	He has whiskers. {Literally: He has a mouse sticking out of his mouth.]	es	https://ojibwe.lib.umn.edu/main-entry/zaaganem-vta
Megwaa-bimoseyaan, ingii-noondawaa baapaase.	While I was walking, I heard a woodpecker.	rg	https://ojibwe.lib.umn.edu/main-entry/baapaase-na
Madweyaakwa'ige ako baapaase endaaayaan.	Once in a while I hear a woodpecker knocking on my house	gj	https://ojibwe.lib.umn.edu/main-entry/baapaase-na
Mitigong ondanjige baapaase. Mii iwe gaa-onji-bagone'waad mitigoo'	A redheaded woodpecker gets its food from a tree. That's why it makes holes in the tree.	nj	https://ojibwe.lib.umn.edu/main-entry/baapaase-na
Debinaak igo ningii-chiishada'ige.	I just swept up any old way.	rg	https://ojibwe.lib.umn.edu/main-entry/jiishada-ige-vai
Wiikwaasinjigan aabajitoon wii-chiishada'igeyan. Wiikwaasinoon gaa-biiwisingin michisag.	Use a vacuum cleaner when you want to sweep up something. Stuff scattered on the floor is sucked up.	nj	https://ojibwe.lib.umn.edu/main-entry/jiishada-ige-vai
Awiya awasi-baawitig danwewezigewag.	There's somebody shooting on the other side of the rapids.	nj	https://ojibwe.lib.umn.edu/main-entry/awasi-baawitig-adv-loc
Wiinetawaa go ani-aazhawa'owag.	Just the two of them are paddling across.	nj	https://ojibwe.lib.umn.edu/main-entry/wiinetawaa-pron-per
Onzaam niibiwa inaginde waasigani-bimide.	Gas costs too much.	nj	https://ojibwe.lib.umn.edu/main-entry/onzaam-niibiwa-adv-qnt
Aaniin enaabadiziwaad gaawayag. / Aabadiziwag gaawayag gegoo mazinaabidoo'igaadeg, maagizhaa wiigwaasi-makakoons.	How are quills used? / Quills are used when something is decorating with embroidery, maybe a small birch bark box.	nj	https://ojibwe.lib.umn.edu/main-entry/gaaway-na
Nookaa imaa jiigashkiig. Gego ndawaaj gabeshisiidaa omaa.	It's soft there by the swamp, so let's not camp here.	es	https://ojibwe.lib.umn.edu/main-entry/nookaa-vii
Daga sa naa inaabin ezhaayang, Giga-bitaabikishinimin.	Come on now, look where we're going. We might hit a reef.	nj	https://ojibwe.lib.umn.edu/main-entry/bitaabikishin-vai
Inaabin enakwazhiweyan. Giga-bitaabikishin minisaabik.	Look where you paddle to. You might get hung up on a reef.	nj	https://ojibwe.lib.umn.edu/main-entry/bitaabikishin-vai
Ogii'-miikwa'waan asiniin gaa-bimishkaad. Gii-bitaabikishin.	The paddler accidentally hit the reef right on.	nj	https://ojibwe.lib.umn.edu/main-entry/bitaabikishin-vai
Ogii-agwaawen iwe maawandoogwaason gaa-kiizhiikang.	She put the quilt she finished up on display.	es	https://ojibwe.lib.umn.edu/main-entry/maawandoogwaason-ni
Gaawiin debisinzinoon; onzaam dakwaa.	It won't fit because it's too short.	es	https://ojibwe.lib.umn.edu/main-entry/dakwaa-vii
Biinjipwaagan ashi 'a asemaa.	Put the tobacco in the pipe.	nj	https://ojibwe.lib.umn.edu/main-entry/biinjipwaagan-adv-loc
Gomaa go akwegad adoopowiniigin.	The table cloth is such and such a length.	nj	https://ojibwe.lib.umn.edu/main-entry/akwegad-vii
Giishpin andawendaman mako-bimide, niiyo-diba'igan gaa-akwegak bagiwaaniigin miinishin.	If you want some bear grease, give me four yards of material for it.	nj	https://ojibwe.lib.umn.edu/main-entry/akwegad-vii
Mii 'i gii-kiizhiitaawaad bakonaawaad iniw waawaashkeshiwan igiweg gwiiwizensag.	The boys are done skinning the deer.	es	https://ojibwe.lib.umn.edu/main-entry/bakon-vta
Obwaanawi'aan ji-bakonaad waaboozoon; onzaam okanaapinewininjii.	She's not able to skin a rabbit because of the arthritis in her hands.	nj	https://ojibwe.lib.umn.edu/main-entry/bakon-vta
Nancy waabanda'iwe ezhichigeng gii-bakonindwaa awesiinyag.	Nancy demonstrates the way animals are skinned.	nj	https://ojibwe.lib.umn.edu/main-entry/bakon-vta
Niwani-bagidinaag ningiziingwe'onag.	I misplaced my towels.	rg	https://ojibwe.lib.umn.edu/main-entry/bagidin-vta
Gaawiin obagidinaasii' oniijaanisa' ji-niibaashkaanid.	She doesn't let her children be out at night.	nj	https://ojibwe.lib.umn.edu/main-entry/bagidin-vta
Gego bagidinaaken ji-bagidanaamonotawik.	Don't let him breathe on you.	nj	https://ojibwe.lib.umn.edu/main-entry/bagidin-vta
Ogii-paataanizhikawaan iniw awesiinyan.	He chased that animal into a corner.	es	https://ojibwe.lib.umn.edu/main-entry/awesiinh-na
Anaamakamig aanind daawag awesiinyensag.	Some little animals live under the ground.	rg	https://ojibwe.lib.umn.edu/main-entry/awesiinh-na
Hoo wah, gigii'-miikonaage. Waawaashkeshi gibiinaa.	Wow, you shot it right on. You're bringing a deer home.	nj	https://ojibwe.lib.umn.edu/main-entry/miikonaage-vai
Giishpin asekaadaman bashkwegin, biinish da-ani-nookiigad.	If you keep pulling a hide to dry it, it will get softer.	nj	https://ojibwe.lib.umn.edu/main-entry/nookiigad-vii
Ingii-maazhipwaa awe miskokaadaak gaa-ashamigooyaan.	I didn't like the taste of the beets they fed me.	es	https://ojibwe.lib.umn.edu/main-entry/maazhip-vta
Ningii-kagiipininjii iko gii-agaashiinyiyaan.	I used to have chapped hands when I was small.	rg	https://ojibwe.lib.umn.edu/main-entry/gagiipininjii-vai
Niibinong ningii-gitigaanaanaanig opiniig.	Last summer we planted potatoes.	rg	https://ojibwe.lib.umn.edu/main-entry/niibinong-adv-tmp
Ingii-wiidige niibinong.	I got married last summer.	es	https://ojibwe.lib.umn.edu/main-entry/niibinong-adv-tmp
Wiin igo gii-toodaazo wenji-naabikang 'iw onik awe ikwezens.	That girl did it to herself and that's why her arm is in sling.	es	https://ojibwe.lib.umn.edu/main-entry/doodaazo-vai
Manoominiwazh odagwaasidoon gaa-gii-pawa'ang.	The rice picker took a whole bag of rice out of her canoe.	nj	https://ojibwe.lib.umn.edu/main-entry/manoominiwazh-ni
Niinawind iko nimisenyiban ingii-agoodinasabiimin.	It was my older sister and me who used to dry the nets.	rg	https://ojibwe.lib.umn.edu/main-entry/agoodinasabii-vai
Dadaatabiiwag igiw egoodinasabiiwaad.	The ones hanging the net up are fast.	es	https://ojibwe.lib.umn.edu/main-entry/agoodinasabii-vai
Gii-pi-gwanabibizo awe ikwe imaa zhoonzhaakwadinig.	That women tipped over on the slippery spot.	es	https://ojibwe.lib.umn.edu/main-entry/gwanabibizo-vai
Miziwe gaagiidizi gaa-izhishimoonod gii-kwanabibizod bijiinaago.	He's sore all over from rolling over his car yesterday.	es	https://ojibwe.lib.umn.edu/main-entry/gwanabibizo-vai
Dibikong gii-kwanabibizowag niizh ininiwag. Bezhig gegaa gii'-nisaabaawe.	Last night two men capsized (their motor boat). One nearly drowned.	nj	https://ojibwe.lib.umn.edu/main-entry/gwanabibizo-vai
Ogii-andoojiishkaan 'iw ozhooniyaa-mashkimodens gaa-paninang imaa gashkii-dibikatenig ji-... odaabaaniiwigamigong.	He was trying to find the billfold he dropped in the darkened garage.	es	https://ojibwe.lib.umn.edu/main-entry/dibikate-vii
Mii 'i gikendaagwak oshki-dagwaaging. Gii-pimwewidamoog igi nikag.	You can tell it is early fall. I heard the geese going by.	es	https://ojibwe.lib.umn.edu/main-entry/bimwewidam-vai2
Ningaabii'anong ondwewidamoog animikiig gii-bimwewidamowaad.	The Thunderbirds come from the west as they go by us.	nj	https://ojibwe.lib.umn.edu/main-entry/bimwewidam-vai2
Ogichi-mamiikwaanaan iniw animozhishan awe akiwenzhiiyish.	The old man brags a lot about that old cur.	es	https://ojibwe.lib.umn.edu/main-entry/mamiikwaazh-vta
Ogidaagonag iwidi animibatoo aw zhingos.	The weasel runs away on top of the snow.	es	https://ojibwe.lib.umn.edu/main-entry/animibatoo-vai
Mooz animibatoo. Jiigaakwaang ani-apatoo.	A moose is running away. He's running along the edge of the trees.	nj	https://ojibwe.lib.umn.edu/main-entry/animibatoo-vai
Gii-tabazi awe bagite'igewinini gechi-ishpiwebinamawind iwe bikwaakwad.	The batter ducked when they gave him a high pitch.	es	https://ojibwe.lib.umn.edu/main-entry/bikwaakwad-ni
