ojibwe	english	speaker	fst_readings
Gii-aazhawibizo imaa eshpaanig aazhogan.	He drove across the high bridge.	es	[{'word_form': 'gii-aazhawibizo', 'fst_analyses': ['PVTense/gii+aazhawibizo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'eshpaanig', 'fst_analyses': ['ChCnj+ishpaa+VII+Cnj+Pos+Neu+0SgObvSubj', 'ChCnj+ishpaa+VII+Cnj+Pos+Neu+0PlObvSubj', 'ishpaa+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.	You have been hired to go name the new bridge.	es	"[{'word_form': 'gidanoonigoo', 'fst_analyses': ['anoozh+VTA+Ind+Pos+Neu+ExclSubj+2SgObj', 'anoozh+VTA+Ind+Pos+Neu+XSubj+2SgObj']}, {'word_form': 'ji-o-wiindaman', 'fst_analyses': ['PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem+NI+Sg""]}, {'word_form': 'oshki-aazhogan', 'fst_analyses': ['PNLex/oshki+aazhogan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Ogotaan ji-aazhawishkang iwe gete-aazhoganish.	He's afraid to cross that old bridge.	es	[{'word_form': 'ogotaan', 'fst_analyses': ['gotan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ji-aazhawishkang', 'fst_analyses': []}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'gete-aazhoganish', 'fst_analyses': ['PNLex/gete+aazhogan+NI+Pej+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.	The bridge going across to the US is a low one. It starts in Canada.	nj	[{'word_form': 'dabasaakosin', 'fst_analyses': ['dabasaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': 'gichi-mookomaanakiing', 'fst_analyses': []}, {'word_form': 'gaa-izhi-aazhawamog', 'fst_analyses': ['ChCnj+PVTense/gii+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVTense/gii+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+PVRel/izhi+aazhawamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'zhaaganaashiiwakiing', 'fst_analyses': ['zhaaganaashiiwaki+NI+Loc']}, {'word_form': 'onji-maadamon', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]
Mii go imaa godagiing gaa-pabaamanokiid 'aw gwiiwizens.	The boy worked around the neighborhood.	es	"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'godagiing', 'fst_analyses': ['godagii+VAI+Cnj+Pos+Neu+XSubj']}, {'word_form': 'gaa-pabaamanokiid', 'fst_analyses': ['ChCnj+PVTense/gii+babaamanokii+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+babaamanokii+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': ""'aw"", 'fst_analyses': [""'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'gwiiwizens', 'fst_analyses': ['gwiiwizens+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.	The electric lights went out and that's why it got dark all of a sudden.	es	[{'word_form': 'gii-aatawesewan', 'fst_analyses': ['PVTense/gii+aatawese+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NA+ObvPl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NI+Pl']}, {'word_form': 'waasigani-waaz', 'fst_analyses': []}, {'word_form': '...', 'fst_analyses': []}, {'word_form': 'waazakonenjiganan', 'fst_analyses': ['waazakonenjigan+NI+Pl']}, {'word_form': 'wenji-gashkii-dibikateg', 'fst_analyses': ['ChCnj+PVRel/onji+gashkii-dibikate+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVRel/onji+gashkii-dibikate+VII+Cnj+Pos+Neu+0SgSubj', 'ChCnj+PVRel/onji+PVLex/gashkii+dibikate+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVRel/onji+PVLex/gashkii+dibikate+VII+Cnj+Pos+Neu+0SgSubj', 'PVRel/onji+gashkii-dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVRel/onji+PVLex/gashkii+dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.	I prepared beforehand to go snowshoeing tomorrow.	nj	"[{'word_form': 'giizhaa', 'fst_analyses': ['giizhaa+ADVTmp']}, {'word_form': 'ningii-ozhiitaa', 'fst_analyses': ['PVTense/gii+ozhiitaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': ""wii'-ando-bimaagimoseyaan"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bimaagimose+VAI+Cnj+Pos+Neu+1SgSubj""]}, {'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0PlSubj', 'waaban+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-mashkawichigaazo 'aw aazhideyaatig gaa-padakinind.	They strengthened the cross they erected.	es	"[{'word_form': 'gii-mashkawichigaazo', 'fst_analyses': []}, {'word_form': ""'aw"", 'fst_analyses': [""'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'aazhideyaatig', 'fst_analyses': ['aazhideyaatig+NA+ProxSg']}, {'word_form': 'gaa-padakinind', 'fst_analyses': ['ChCnj+PVTense/gii+badakizh+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-sagaakwa'igaazo awe gizhe-manidoo imaa aazhideyaatigong.	They nailed Jesus to the cross.	es	"[{'word_form': ""gii-sagaakwa'igaazo"", 'fst_analyses': [""PVTense/gii+zagaakwa'igaazo+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'gizhe-manidoo', 'fst_analyses': ['gizhe-manidoo+NA+ProxSg']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'aazhideyaatigong', 'fst_analyses': ['aazhideyaatig+NA+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.	She didn't have any idea she was being sent to Washington.	es	"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': 'gii-inamanjigesii', 'fst_analyses': ['PVTense/gii+inamanjige+VAI+Ind+Neg+Neu+3SgProxSubj']}, {'word_form': ""aana-gii-izhinizha'ond"", 'fst_analyses': [""PVTense/aana+PVTense/gii+izhinizha'+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj"", ""PVTense/aana+PVTense/gii+izhinizha'wi+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj""]}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'waashtanong', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Mii iwidi gaa-izhinizha'amaan Waashtanong gaa-kiizhig.. gaa-kiizhibii'igaadeg 'i onaakonigewin.	When they finished writing up that policy, that is where I sent it, to Washington, D.C.	es	"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': ""gaa-izhinizha'amaan"", 'fst_analyses': [""ChCnj+PVTense/gii+izhinizha'an+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj"", ""ChCnj+PVTense/gii+izhinizha'an+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj"", ""PVSub/gaa+izhinizha'an+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj"", ""PVSub/gaa+izhinizha'an+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj""]}, {'word_form': 'waashtanong', 'fst_analyses': []}, {'word_form': 'gaa-kiizhig', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""gaa-kiizhibii'igaadeg"", 'fst_analyses': []}, {'word_form': ""'i"", 'fst_analyses': [""'i+PRONDem+NI+Sg""]}, {'word_form': 'onaakonigewin', 'fst_analyses': ['onaakonigewin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-pabiiwishkam awe waawaashkeshi gaa-... gaa-pima'anag.	The deer I tracked had small tracks.	es	"[{'word_form': 'gii-pabiiwishkam', 'fst_analyses': []}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'waawaashkeshi', 'fst_analyses': ['waawaashkeshi+NA+ProxSg']}, {'word_form': 'gaa-', 'fst_analyses': ['ChCnj+PVTense/gii+', 'PVTense/gii+', 'PVSub/gaa+']}, {'word_form': '...', 'fst_analyses': []}, {'word_form': ""gaa-pima'anag"", 'fst_analyses': [""ChCnj+PVTense/gii+bima'azh+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj""]}, {'word_form': '.', 'fst_analyses': []}]"
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.	Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.	es	"[{'word_form': 'indaga', 'fst_analyses': ['indaga+PCDisc']}, {'word_form': 'dawinamaw', 'fst_analyses': ['dawinamaw+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'dawinamaw+VTA+Imp+Sim+2SgSubj+3SgProxObj']}, {'word_form': ""'iw"", 'fst_analyses': [""'iw+PRONDem+NI+Sg""]}, {'word_form': ""desa'on"", 'fst_analyses': [""desa'on+NI+Sg""]}, {'word_form': 'aw', 'fst_analyses': ['aw+PRONDem+NA+ProxSg']}, {'word_form': 'niningwan', 'fst_analyses': ['ningwan+NAD+ProxSg+1SgPoss', 'ningwano+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ge-izhi-bagidoomaad', 'fst_analyses': ['ChCnj+PVTense/daa+PVRel/izhi+bagidoom+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVTense/daa+PVRel/izhi+bagidoom+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'ChCnj+PVTense/ga+PVRel/izhi+bagidoom+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVTense/ga+PVRel/izhi+bagidoom+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvSg', 'waawaashkeshi+NA+ObvPl']}, {'word_form': '.', 'fst_analyses': []}]"
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.	He's working on the deer he shot.	es	[{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvSg', 'waawaashkeshi+NA+ObvPl']}, {'word_form': 'gaa-paashkizwaad', 'fst_analyses': ['ChCnj+PVTense/gii+baashkiz+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVTense/gii+baashkiz+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'ChCnj+PVTense/gii+baashkizwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVTense/gii+baashkizwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': '.', 'fst_analyses': []}]
Nina'aangish gii-paashkizwaad ini waawaashkeshiwan, agaawaa ogii-kashkinanaan.	When my son-in-law shot the deer, he barely got him.	rg	"[{'word_form': ""nina'aangish"", 'fst_analyses': [""na'aangish+NA+ProxSg+1SgPoss""]}, {'word_form': 'gii-paashkizwaad', 'fst_analyses': ['PVTense/gii+baashkizwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+baashkizwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+baashkiz+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+baashkiz+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'ini', 'fst_analyses': ['ini+PRONDem+NA+ObvPl', 'ini+PRONDem+NA+ObvSg', 'ini+PRONDem+NI+Pl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvSg', 'waawaashkeshi+NA+ObvPl']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'agaawaa', 'fst_analyses': ['agaawaa+ADVDeg']}, {'word_form': 'ogii-kashkinanaan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.	He's looking for the deer he wounded.	es	[{'word_form': 'onandawaabamaan', 'fst_analyses': ['nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'nandawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'andawaabam+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'gaa-maakinawaad', 'fst_analyses': ['ChCnj+PVTense/gii+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+PVTense/gii+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVSub/gaa+maakinaw+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvSg', 'waawaashkeshi+NA+ObvPl']}, {'word_form': '.', 'fst_analyses': []}]
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.	He's not able to drive a car anymore because he can't see very well.	nj	"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': ""ogashki'aasiin"", 'fst_analyses': [""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj"", ""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': ""ji-bimibizo'aad"", 'fst_analyses': [""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj""]}, {'word_form': 'odaabaanan', 'fst_analyses': ['odaabaan+NA+ObvSg', 'odaabaan+NA+ObvPl', 'odaabaan+NI+Pl']}, {'word_form': ';', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'zaabaabisii', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Babiiskijiitaa babaa-ayaad.	It wiggles up and down as it moves around.	nj	[{'word_form': 'babiiskijiitaa', 'fst_analyses': ['babiiskijiitaa+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'babaa-ayaad', 'fst_analyses': ['PVDir/babaa+ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'babaa-ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gego bimibatwaadangen gibaashkizigan.	Don't run with your gun.	nj	[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'bimibatwaadangen', 'fst_analyses': ['bimibatwaadan+VTI+Imp+Prb+2SgSubj+0SgObj', 'bimibatwaadan+VTI+Imp+Prb+2SgSubj+0PlObj']}, {'word_form': 'gibaashkizigan', 'fst_analyses': ['baashkizigan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
